Categories,Description
Dress,"A one piece figure higging garments that clings tightly to the body from the bust to the lower hem. It typically has three lengths: upper thigh, mid thigh or knee.  "
Terno,A matching blouse and skirt.
Tops,Upper garments
Jumpsuit,"One-piece garment with sleeves and legs and typically without integral coverings for feet, hands or head."
Jumpshort,Jumpsuit style but is shorter that does not cover the knees and feets.
Jewelries and Wearables,Fashion accessory for men and women
